Plot No.,User A,User B,Land Cover 2000? Summary,Land cover in 2000? A,Land cover in 2000? B,Type Forest 2000? Summary,Type of forest? A,Type of forest? B,Type NF (2000) Summary,Type NF A,Type NF B,Type of Crop (2000) Summary,Type of Crop A,Type of Crop B,Change (1st) Summary,Was there a forest change (1st)? A,Was there a forest change (1st)? B,Year of Change (1st) Summary,Year of first change? A,Year of first change? B,Type of change (1st)? Summary,Type of change? (first) A,Type of change? (first) B,Driver of change (1st) Summary,Driver of change? (1st) A,Driver of change? (1st) B,Was there 2nd change? Summary,2nd Change Year_A,2nd Change Year_B,Type of Change (2nd)? Summary,Type of change (2nd)? A,Type of change? (second) B,Driver of change? (2nd) Summary,Driver of change? (2nd) A,Driver of change (2nd)? B,Year of Change (3rd)? Summary,Year of third change? A,Year of third change? B,Type of Change (3rd) Summary,Type of change? (3rd) A,Type of change? (3rd) B,More than 3 changes? Summary,More than 3 changes? A,More than 3 changes? B,Land cover (2018) Summary,Land cover end of 2018? A,Land cover end of 2018? B,Type of Forest (2018) Summary,Type of forest? (2018),Type of forest? (2018),Type of NF (2018)? Summary,Type of NF? (2018) A,Type of NF? (2018) B,Type of crop (2018)? Summary,Type of crop? (2018) A,Type of crop? (2018) B
Agreement,,,126,,,53,,,53,,,23,,,107,,,3,,,7,,,0,,,3,,,0,,,0,,,0,,,0,,,0,,,124,,,53,,,44,,,13,,
Disagreement,,,24,,,25,,,51,,,17,,,43,6/43 human error,,32,,,28,,,24,,,32,,,16,,,7,,,16,,,6,,,6,,,26,,,27,,,52,,,20,,
Not applicable,,,0,,,72,,,46,,,105,,,0,,,115,,,115,,,126,,,115,,,134,,,143,,,134,,,144,,,144,,,0,,,70,,,54,,,117,,
1,Leizel,Jinia,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
2,Leizel,Jinia,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
3,Dennis,Leizel,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
4,Leizel,Dennis,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
5,Merel,Leizel,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
6,Merel,Leizel,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
7,Kim,Leizel,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,D,no,yes,D,NA,2007,D,NA,Degradation,D,NA,"Conversion of forests (plantations, agroforestry, fishpond)",D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,"fruit trees (mango, cashew, avocado, rambutan durian)"
8,Leizel,Kim,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
9,Leizel,Hanna,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
10,Leizel,Hanna,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
11,Leizel,Harold,A,non-forest,non-forest,NA,NA,NA,A,shrubs,shrubs,NA,NA,NA,D,N/A non-forest entire time,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,shrubs,shrubs,NA,NA,NA
12,Leizel,Harold,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,D,"fruit trees (mango, cashew, avocado, rambutan durian)",coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,D,"fruit trees (mango, cashew, avocado, rambutan durian)",coconut / other palm
13,Azi,Leizel,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,A,NA,NA,D,no,yes,D,NA,2017,D,NA,Degradation,D,NA,"Conversion of forests (plantations, agroforestry, fishpond)",D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,"fruit trees (mango, cashew, avocado, rambutan durian)"
14,Leizel,Azi,D,non-forest,forest,D,NA,mangrove forest,D,grassland,NA,A,NA,NA,D,N/A non-forest entire time,yes,D,NA,2011,D,NA,Degradation,D,NA,Legal / illegal logging / poaching,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,mangrove forest,D,grassland,NA,NA,NA,NA
15,Leizel,Tin,A,non-forest,non-forest,NA,NA,NA,D,perennial crop,open/barren,D,unsure,NA,D,N/A non-forest entire time,yes,D,NA,2003,D,NA,Reforestation,NA,NA,NA,D,NA,2006,D,NA,Deforestation,D,NA,Mining,D,NA,2009,D,NA,Deforestation,D,NA,yes,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,unsure,NA
16,Jinia,Trina,A,non-forest,non-forest,NA,NA,NA,D,annual crop,shrubs,A,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,Grazing,Legal / illegal logging / poaching,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,other (leave in note),shrubs,NA,NA,NA
17,Jinia,Trina,A,non-forest,non-forest,NA,NA,NA,D,grassland,shrubs,A,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,grassland,shrubs,NA,NA,NA
18,Dennis,Trina,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,A,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
19,Dennis,Trina,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,A,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
20,Trina,Merel,A,non-forest,non-forest,NA,NA,NA,D,open/barren,other (leave in note),A,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,open/barren,other (leave in note),NA,NA,NA
21,Merel,Trina,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,A,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,grassland,annual crop,NA,NA,NA
22,Trina,Kim,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,A,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
23,Trina,Kim,A,non-forest,non-forest,NA,NA,NA,D,shrubs,grassland,A,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,shrubs,shrubs,NA,NA,NA
24,Hanna,Trina,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,A,NA,NA,A,yes,yes,A,2014,2014,D,Deforestation,Degradation,D,Unsure,"Conversion of forests (plantations, agroforestry, fishpond)",D,NA,2017,D,NA,Reforestation,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
25,Trina,Hanna,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,coconut / other palm,NA,D,N/A non-forest entire time,yes,D,NA,2016,D,NA,Deforestation,D,NA,Unsure,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,"fruit trees (mango, cashew, avocado, rambutan durian)",NA
26,Trina,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
27,Trina,Harold,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
28,Azi,Trina,D,forest,non-forest,D,inland forest,NA,D,NA,grassland,NA,NA,NA,D,no,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,coconut / other palm
29,Azi,Trina,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,D,no,yes,D,NA,2002,D,NA,Degradation,D,NA,Forest / brush fire,D,NA,2004,D,NA,Reforestation,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
30,Tin,Trina,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,D,no,yes,D,NA,2018,D,NA,Degradation,D,NA,Unsure,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
31,Harold,Jinia,A,non-forest,non-forest,NA,NA,NA,D,shrubs,perennial crop,D,NA,"fruit trees (mango, cashew, avocado, rambutan durian)",A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,shrubs,perennial crop,D,NA,"fruit trees (mango, cashew, avocado, rambutan durian)"
32,Dennis,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,D,yes,no,D,2011,NA,D,Degradation,NA,D,"Conversion of forests (plantations, agroforestry, fishpond)",NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA
33,Dennis,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
34,Merel,Harold,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
35,Harold,Merel,A,non-forest,non-forest,NA,NA,NA,A,open/barren,open/barren,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,open/barren,grassland,NA,NA,NA
36,Kim,Harold,A,non-forest,non-forest,NA,NA,NA,D,grassland,open/barren,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,grassland,open/barren,NA,NA,NA
37,Kim,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,yes,yes,D,9999,2016,D,Degradation,Degradation,D,Unsure,Unsure,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
38,Harold,Hanna,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,yes,yes,D,2017,2004,D,Degradation,Degradation,D,Unsure,Unsure,D,NA,2017,D,NA,Degradation,D,NA,Legal / illegal logging / poaching,D,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA
39,Hanna,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,D,yes,no,D,2016,NA,D,Degradation,NA,D,Unsure,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
40,Azi,Harold,A,non-forest,non-forest,NA,NA,NA,A,open/barren,open/barren,NA,NA,NA,D,yes,N/A non-forest entire time,D,2010,NA,D,Reforestation,NA,NA,NA,NA,D,2016,NA,D,Degradation,NA,D,Legal / illegal logging / poaching,NA,D,2017,NA,D,Degradation,NA,D,unsure,NA,A,non-forest,non-forest,NA,NA,NA,D,grassland,open/barren,NA,NA,NA
41,Azi,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
42,Harold,Tin,A,forest,forest,D,mangrove forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,D,mangrove forest,inland forest,NA,NA,NA,NA,NA,NA
43,Tin,Harold,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,built-up,annual crop,NA,NA,NA
44,Leizel,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
45,Jinia,Leizel,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,D,banana,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,D,banana,coconut / other palm
