Plot No.,User A,User B,Land Cover 2000? Summary,Land cover in 2000? A,Land cover in 2000? B,Type Forest 2000? Summary,Type of forest? A,Type of forest? B,Type NF (2000) Summary,Type NF A,Type NF B,Type of Crop (2000) Summary,Type of Crop A,Type of Crop B,Change (1st) Summary,Was there a forest change (1st)? A,Was there a forest change (1st)? B,Year of Change (1st) Summary,Year of first change? A,Year of first change? B,Type of change (1st)? Summary,Type of change? (first) A,Type of change? (first) B,Driver of change (1st) Summary,Driver of change? (1st) A,Driver of change? (1st) B,Was there 2nd change? Summary,2nd Change Year_A,2nd Change Year_B,Type of Change (2nd)? Summary,Type of change (2nd)? A,Type of change? (second) B,Driver of change? (2nd) Summary,Driver of change? (2nd) A,Driver of change (2nd)? B,Year of Change (3rd)? Summary,Year of third change? A,Year of third change? B,Type of Change (3rd) Summary,Type of change? (3rd) A,Type of change? (3rd) B,More than 3 changes? Summary,More than 3 changes? A,More than 3 changes? B,Land cover (2018) Summary,Land cover end of 2018? A,Land cover end of 2018? B,Type of Forest (2018) Summary,Type of forest? (2018),Type of forest? (2018),Type of NF (2018)? Summary,Type of NF? (2018) A,Type of NF? (2018) B,Type of crop (2018)? Summary,Type of crop? (2018) A,Type of crop? (2018) B
46,Jinia,Azi,A,non-forest,non-forest,NA,NA,NA,A,grassland,grassland,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,grassland,grassland,NA,NA,NA
47,Dennis,Azi,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
48,Dennis,Azi,A,non-forest,non-forest,NA,NA,NA,D,grassland,shrubs,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,grassland,shrubs,NA,NA,NA
49,Azi,Merel,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA,D,N/A non-forest entire time,yes,D,NA,2002,A,NA,Degradation,D,NA,Legal / illegal logging / poaching,D,NA,2015,D,NA,Deforestation,D,NA,Grazing,D,NA,2018,D,NA,Deforestation,D,NA,no,A,non-forest,non-forest,NA,NA,NA,A,shrubs,shrubs,NA,NA,NA
50,Azi,Merel,A,non-forest,non-forest,NA,NA,NA,D,shrubs,built-up,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,other (leave in note),built-up,NA,NA,NA
51,Kim,Azi,A,non-forest,non-forest,NA,NA,NA,D,annual crop,grassland,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,annual crop,grassland,NA,NA,NA
52,Kim,Azi,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
53,Azi,Hanna,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
54,Hanna,Leizel,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,coconut / other palm,D,yes,N/A non-forest entire time,D,2015,NA,A,Deforestation,NA,D,Unsure,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,coconut / other palm
55,Azi,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
56,Harold,Azi,A,non-forest,non-forest,NA,NA,NA,D,annual crop,open/barren,NA,NA,NA,D,no,yes,D,NA,2013,A,NA,Reforestation,NA,NA,NA,D,NA,2015,D,NA,Degradation,D,NA,Legal / illegal logging / poaching,D,NA,2017,D,NA,Reforestation,D,NA,unsure,A,non-forest,non-forest,NA,NA,NA,D,annual crop,perennial crop,D,NA,unsure
57,Azi,Tin,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,coconut / other palm,D,yes,no,D,2016,NA,A,Reforestation,NA,NA,NA,NA,D,2018,NA,D,Reforestation,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
58,Leizel,Tin,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,,unsure,NA,D,N/A non-forest entire time,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,unsure,NA
59,Leizel,Azi,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,"fruit trees (mango, cashew, avocado, rambutan durian)",NA,D,N/A non-forest entire time,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,"fruit trees (mango, cashew, avocado, rambutan durian)",NA
60,Jinia,Tin,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
61,Tin,Jinia,A,non-forest,non-forest,NA,NA,NA,D,open/barren,open/barren,NA,NA,NA,A,yes,yes,D,2011,2015,A,Reforestation,Reforestation,NA,NA,NA,D,2012,NA,D,Reforestation,NA,NA,NA,NA,D,2015,NA,D,Reforestation,NA,D,yes,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
62,Dennis,Tin,D,non-forest,forest,D,NA,inland forest,D,other (leave in note),NA,NA,NA,NA,D,N/A non-forest entire time,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA
63,Tin,Dennis,A,non-forest,non-forest,NA,NA,NA,D,shrubs,grassland,NA,NA,NA,D,no,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,annual crop,NA,NA,NA
64,Merel,Tin,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,D,no,yes,D,NA,2013,D,NA,Reforestation,NA,NA,NA,D,NA,2018,D,NA,Reforestation,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
65,Merel,Tin,A,non-forest,non-forest,NA,NA,NA,D,shrubs,grassland,NA,NA,NA,A,yes,yes,D,2016,2014,A,Reforestation,Reforestation,NA,NA,NA,A,2017,2017,D,Deforestation,Degradation,D,Legal / illegal logging / poaching,Unsure,D,NA,2018,D,NA,Reforestation,D,NA,yes,A,non-forest,non-forest,NA,NA,NA,D,shrubs,grassland,NA,NA,NA
66,Tin,Kim,D,forest,non-forest,D,inland forest,NA,NA,NA,shrubs,NA,NA,NA,D,yes,N/A non-forest entire time,D,2010,NA,D,Deforestation,NA,D,"Conversion of forests (plantations, agroforestry, fishpond)",NA,D,2018,NA,D,Reforestation,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,grassland,NA,NA,NA
67,Kim,Tin,A,non-forest,non-forest,NA,NA,NA,A,built-up,built-up,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,built-up,built-up,NA,NA,NA
68,Hanna,Tin,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,yes,yes,A,2014,2014,A,Degradation,Degradation,D,Unsure,Kaingin making,D,NA,2018,D,NA,Reforestation,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
69,Hanna,Tin,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
70,Tin,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
71,Tin,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
72,Tin,Azi,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
73,Tin,Azi,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
74,Tin,Leizel,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,,NA,unsure,D,no,yes,D,NA,2004,D,NA,Reforestation,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
75,Dennis,Jinia,A,non-forest,non-forest,NA,NA,NA,D,perennial crop,annual crop,D,coconut / other palm,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,perennial crop,annual crop,D,coconut / other palm,NA
76,Jinia,Dennis,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
77,Merel,Jinia,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,other (leave in note),other (leave in note),NA,NA,NA
78,Jinia,Merel,A,non-forest,non-forest,NA,NA,NA,D,annual crop,open/barren,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,built-up,built-up,NA,NA,NA
79,Jinia,Kim,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,D,coconut / other palm,banana,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,D,coconut / other palm,banana
80,Jinia,Kim,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
81,Jinia,Hanna,D,non-forest,forest,D,NA,inland forest,D,grassland,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA
82,Hanna,Jinia,D,forest,non-forest,D,inland forest,NA,D,NA,shrubs,NA,NA,NA,D,yes,no,D,2015,NA,D,Degradation,NA,D,Unsure,NA,D,2016,NA,D,Reforestation,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,shrubs,NA,NA,NA
83,Jinia,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
84,Jinia,Harold,A,non-forest,non-forest,NA,NA,NA,D,shrubs,open/barren,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,built-up,built-up,NA,NA,NA
85,Jinia,Azi,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
86,Jinia,Azi,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
87,Jinia,Tin,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA,D,N/A non-forest entire time,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA
88,Jinia,Tin,A,non-forest,non-forest,NA,NA,NA,D,open/barren,grassland,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,open/barren,open/barren,NA,NA,NA
89,Leizel,Jinia,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,D,no,yes,D,NA,2016,D,NA,Degradation,D,NA,Unsure,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
90,Dennis,Jinia,A,non-forest,non-forest,NA,NA,NA,D,annual crop,other (leave in note),NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,annual crop,other (leave in note),NA,NA,NA
91,Dennis,Jinia,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
92,Dennis,Merel,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
93,Dennis,Merel,A,non-forest,non-forest,NA,NA,NA,A,open/barren,open/barren,NA,NA,NA,D,N/A non-forest entire time,yes,D,NA,2012,D,NA,Reforestation,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,grassland,NA,NA,NA,NA
94,Dennis,Kim,A,non-forest,non-forest,NA,NA,NA,D,annual crop,grassland,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,annual crop,grassland,NA,NA,NA
95,Dennis,Kim,A,non-forest,non-forest,NA,NA,NA,A,open/barren,open/barren,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,open/barren,grassland,NA,NA,NA
96,Dennis,Hanna,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,coconut / other palm,NA,D,no,yes,D,NA,2014,D,NA,Deforestation,D,NA,Unsure,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,coconut / other palm,NA
97,Dennis,Hanna,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
