Plot No.,User A,User B,Land Cover 2000? Summary,Land cover in 2000? A,Land cover in 2000? B,Type Forest 2000? Summary,Type of forest? A,Type of forest? B,Type NF (2000) Summary,Type NF A,Type NF B,Type of Crop (2000) Summary,Type of Crop A,Type of Crop B,Change (1st) Summary,Was there a forest change (1st)? A,Was there a forest change (1st)? B,Year of Change (1st) Summary,Year of first change? A,Year of first change? B,Type of change (1st)? Summary,Type of change? (first) A,Type of change? (first) B,Driver of change (1st) Summary,Driver of change? (1st) A,Driver of change? (1st) B,Was there 2nd change? Summary,2nd Change Year_A,2nd Change Year_B,Type of Change (2nd)? Summary,Type of change (2nd)? A,Type of change? (second) B,Driver of change? (2nd) Summary,Driver of change? (2nd) A,Driver of change (2nd)? B,Year of Change (3rd)? Summary,Year of third change? A,Year of third change? B,Type of Change (3rd) Summary,Type of change? (3rd) A,Type of change? (3rd) B,More than 3 changes? Summary,More than 3 changes? A,More than 3 changes? B,Land cover (2018) Summary,Land cover end of 2018? A,Land cover end of 2018? B,Type of Forest (2018) Summary,Type of forest? (2018),Type of forest? (2018),Type of NF (2018)? Summary,Type of NF? (2018) A,Type of NF? (2018) B,Type of crop (2018)? Summary,Type of crop? (2018) A,Type of crop? (2018) B
98,Dennis,Harold,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,D,no,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
99,Dennis,Harold,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA,D,yes,no,D,2018,NA,D,Reforestation,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
100,Azi,Dennis,D,forest,non-forest,D,inland forest,NA,D,NA,shrubs,NA,NA,NA,D,no,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,shrubs,NA,NA,NA
101,Dennis,Azi,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
102,Tin,Dennis,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
103,Tin,Dennis,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,D,no,yes,D,NA,2013,D,NA,Degradation,D,NA,Unsure,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
104,Leizel,Dennis,A,non-forest,non-forest,NA,NA,NA,A,marshland/swamp,marshland/swamp,NA,NA,NA,D,no,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,marshland/swamp,marshland/swamp,NA,NA,NA
105,Merel,Jinia,A,non-forest,non-forest,NA,NA,NA,D,shrubs,perennial crop,,,unsure,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
106,Merel,Jinia,D,forest,non-forest,D,inland forest,NA,D,NA,shrubs,NA,NA,NA,D,yes,N/A non-forest entire time,D,2017,NA,D,Degradation,NA,D,Legal / illegal logging / poaching,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,shrubs,open/barren,NA,NA,NA
107,Dennis,Merel,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
108,Merel,Dennis,A,non-forest,non-forest,NA,NA,NA,A,shrubs,shrubs,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,shrubs,shrubs,NA,NA,NA
109,Kim,Merel,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
110,Merel,Kim,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
111,Merel,Hanna,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,coconut / other palm,NA,D,N/A non-forest entire time,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,coconut / other palm,NA
112,Hanna,Merel,A,non-forest,non-forest,NA,NA,NA,D,built-up,shrubs,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,built-up,shrubs,NA,NA,NA
113,Harold,Merel,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
114,Merel,Harold,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
115,Merel,Azi,A,non-forest,non-forest,NA,NA,NA,A,shrubs,shrubs,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,shrubs,grassland,NA,NA,NA
116,Azi,Merel,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
117,Merel,Tin,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
118,Merel,Tin,A,forest,forest,A,inland forest,inland forest,A,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
119,Leizel,Merel,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA,A,yes,yes,D,2015,2004,D,Reforestation,Degradation,D,NA,Legal / illegal logging / poaching,D,NA,2014,D,NA,Reforestation,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
120,Kim,Jinia,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,coconut / other palm,D,no,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,coconut / other palm
121,Jinia,Trina,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
122,Trina,Dennis,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,grassland,grassland,NA,NA,NA
123,Trina,Dennis,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
124,Merel,Trina,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
125,Trina,Merel,A,non-forest,non-forest,NA,NA,NA,D,perennial crop,grassland,D,coconut / other palm,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,perennial crop,grassland,D,coconut / other palm,NA
126,Trina,Hanna,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
127,Hanna,Trina,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
128,Trina,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
129,Trina,Harold,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,A,coconut / other palm,coconut / other palm
130,Azi,Trina,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
131,Azi,Trina,A,non-forest,non-forest,NA,NA,NA,D,shrubs,perennial crop,,NA,banana,D,yes,N/A non-forest entire time,D,2016,NA,D,Reforestation,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,perennial crop,perennial crop,D,coconut / other palm,banana
132,Trina,Tin,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
133,Tin,Trina,A,non-forest,non-forest,NA,NA,NA,D,perennial crop,annual crop,D,"fruit trees (mango, cashew, avocado, rambutan durian)",NA,D,no,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,open/barren,annual crop,NA,NA,NA
134,Leizel,Trina,A,non-forest,non-forest,NA,NA,NA,D,perennial crop,grassland,D,unsure,NA,D,no,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,perennial crop,shrubs,D,unsure,NA
135,Jinia,Hanna,A,forest,forest,A,inland forest,inland forest,A,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
136,Jinia,Hanna,A,forest,forest,A,inland forest,inland forest,A,NA,NA,NA,NA,NA,D,no,yes,D,NA,2013,D,NA,Degradation,D,NA,Unsure,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
137,Dennis,Trina,A,non-forest,non-forest,NA,NA,NA,D,grassland,shrubs,NA,NA,NA,D,N/A non-forest entire time,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,grassland,shrubs,NA,NA,NA
138,Hanna,Dennis,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
139,Merel,Hanna,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
140,Merel,Trina,A,forest,forest,A,inland forest,inland forest,A,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
141,Hanna,Trina,D,forest,non-forest,D,inland forest,NA,D,NA,shrubs,NA,NA,NA,D,no,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,shrubs,NA,NA,NA
142,Leizel,Trina,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,"fruit trees (mango, cashew, avocado, rambutan durian)",NA,A,yes,yes,D,2018,2005,D,Reforestation,Deforestation,D,NA,"Conversion of forests (plantations, agroforestry, fishpond)",A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,shrubs,NA,NA,NA
143,Leizel,Trina,A,forest,forest,A,inland forest,inland forest,A,NA,NA,NA,NA,NA,A,yes,yes,A,2016,2016,D,Degradation,Deforestation,D,Unsure,Forest / brush fire,D,2018,NA,D,Reforestation,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,shrubs,NA,NA,NA
144,Harold,Hanna,A,non-forest,non-forest,NA,NA,NA,D,annual crop,built-up,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,annual crop,built-up,NA,NA,NA
145,Hanna,Azi,A,forest,forest,A,inland forest,inland forest,A,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
146,Hanna,Azi,A,forest,forest,A,inland forest,inland forest,A,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
147,Hanna,Tin,D,non-forest,forest,D,NA,inland forest,D,annual crop,NA,NA,NA,NA,D,N/A non-forest entire time,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,annual crop,NA,NA,NA,NA
148,Tin,Hanna,A,forest,forest,A,inland forest,inland forest,A,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
149,Leizel,Hanna,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,A,annual crop,annual crop,NA,NA,NA
150,Jinia,Trina,A,forest,forest,A,inland forest,inland forest,A,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA